id,link,title,date,state,civilian_initiated,deaths,potential_death,false_alarm,description,file_name
3,https://web.archive.org/web/20150417085342/http://www.msnbc.msn.com/id/8926416/,Sept. 11th Fire Tapes,1-Sep,,,,,,,
4,"https://web.archive.org/web/20150417085342/http://www.amny.com/news/local/groundzero/nyc-fdny-mp3,0,6956355.htmlstory",Sept. 11th Fire Tapes #2,1-Sep,,,,,,,
5,https://web.archive.org/web/20150417085342/http://www.archive.org/details/911_fdny_dispatches,Sept. 11th Tape Archive,1-Sep,,,,,,,
6,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/info/wof.html,Wheel of Fortune!,,,,,,,� fun video clip from the quiz show,
7,https://web.archive.org/web/20150417085342/http://www.realwacky.com/,Wacky 911 CDs,,,,,,,,
14,https://web.archive.org/web/20150417085342/http://www.alpinedisc.com/columbine.htm,Columbine Incident CDs,Apr-99,Colorado,1,13,1,0,Columbine High School massacre,
22,https://web.archive.org/web/20150417085342/http://www.youtube.com/watch?v=EdXR-TohG5o,Adam-12 Opening,,,,,,,,
23,https://web.archive.org/web/20150417085342/http://www.fcc.gov/realaudio/mt042007.ram,FCC 1st Resp Summit,,,,,,,,
25,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/kcpd_shooting_2.mp3,Kansas City Shooting #2,7-Apr,Missouri,0,3,1,0,,call_25.mp3
26,https://web.archive.org/web/20150417085342/http://mp3.911dispatch.com.s3.amazonaws.com/oakland_maze_911.mp3,Oakland tanker fire 911,7-Apr,California,1,0,1,0,"� In Jan. 2007 a tanker traveling through an Interstate highway interchange in Oakland (Calif.) overturned, setting a fire that melted an overpass that cut a key highway link in the Bay area. Many people dialed 911 to report the 8,000 gallon gasoline tanker crash and fire. The driver was badly burned, and ended up walking over a mile to a convenience store where a cab driver realized her was injured and drove him to a hospital.",
29,https://web.archive.org/web/20150417085342/http://www.nbc.com/The_Tonight_Show_with_Jay_Leno/video/#mea=102115,Leno’s wacky 911,,,,,,,,
39,https://web.archive.org/web/20150417085342/http://www.911dispatch.com/reference/rapist_gives_up.mp3,Rapist Surrenders  Penn.,,Pennsylvania,1,0,0,0,,call_39.mp3
